key	building_level	position_index	research_points_required	icon_name	military_prestige	naval_prestige	economic_prestige	enlightenment_prestige	mp_available_early	mp_available_late	info_pic	ai_bias	unique_index	cost_per_round	is_civil	is_engineering	is_military
rom_baktria_military_management_logistics	rom_HELLENIC_port_1	2	800	rom_roman_military_top_logistics	0	0	0	0	false	false	greek_army_up.png	0	4046	0	false	false	true
rom_baktria_military_management_organised_supply	rom_HELLENIC_port_1	2	800	rom_greek_military_management_organised_supply	0	0	0	0	false	false	east_army_up.png	0	4054	0	false	false	true
rom_baktria_military_tactics_advanced_cavalry_tactics	rom_HELLENIC_port_1	2	4400	rom_roman_military_tactics_advanced_cavalry_tactics	0	0	0	0	false	false	greek_army_up.png	0	4058	367	false	false	true
rom_baktria_military_tactics_gymnasia	rom_HELLENIC_port_1	2	5600	rom_greek_military_tactics_votive_games	0	0	0	0	false	false	greek_army_up.png	0	4062	467	false	false	true
rom_baktria_military_tactics_kataphractoi	rom_HELLENIC_port_1	2	2400	rom_eastern_military_tactics_kataphractoi	0	0	0	0	false	false	east_army_up.png	0	4072	0	false	false	true
rom_baktria_military_tactics_physical_conditioning	rom_HELLENIC_port_1	2	6800	rom_roman_military_tactics_physical_conditioning	0	0	0	0	false	false	greek_army_up.png	0	4073	567	false	false	true
rom_baktria_military_tactics_stategic_manoeuvres	rom_HELLENIC_port_1	2	10000	rom_roman_military_tactics_stategic_manoeuvres	0	0	0	0	false	false	greek_army_up.png	0	4077	833	false	false	true
rom_baktria_military_tactics_tactical_flexibility	rom_HELLENIC_port_1	2	1600	rom_greek_military_tactics_tactical_flexibility	0	0	0	0	false	false	greek_army_up.png	0	4083	0	false	false	true
rom_black_sea_dlc_pergaminus	rom_HELLENIC_port_1	2	10000	bla_pergaminus	0	0	0	0	false	false	greek_civ_up.png	0	5390	833	true	false	false
rom_black_sea_dlc_voyages_of_pytheas	rom_HELLENIC_port_1	2	1600	bla_voyages_of_pytheas	0	0	0	0	false	false	greek_civ_up.png	0	5380	0	true	false	false
rom_briton_civil_druidism_druidic_doctrine	rom_HELLENIC_port_1	2	9200	rom_barbarian_civil_druidism_druidic_doctrine	0	0	0	0	false	false	barb_civ_up.png	0	836	767	true	false	false
rom_briton_civil_druidism_druidic_judgement	rom_HELLENIC_port_1	2	3200	rom_barbarian_civil_druidism_druidic_judgement	0	0	0	0	false	false	barb_civ_up.png	0	814	267	true	false	false
rom_briton_civil_druidism_henge	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_henge	0	0	0	0	false	false	barb_civ_up.png	0	838	0	true	false	false
rom_briton_civil_druidism_knowledge_of_the_oak	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_knowledge_of_the_oak	0	0	0	0	false	false	barb_civ_up.png	0	809	0	true	false	false
rom_briton_civil_druidism_sacred_grove	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_sacred_grove	0	0	0	0	false	false	barb_civ_up.png	0	817	0	true	false	false
rom_briton_civil_druidism_sacrificial_rites	rom_HELLENIC_port_1	2	1200	rom_barbarian_civil_druidism_sacrificial_rites	0	0	0	0	false	false	barb_civ_up.png	0	831	0	true	false	false
rom_briton_civil_druidism_stargazing	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_stargazing	0	0	0	0	false	false	barb_civ_up.png	0	818	0	true	false	false
rom_briton_civil_druidism_stone_circle	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_stone_circle	0	0	0	0	false	false	barb_civ_up.png	0	826	0	true	false	false
rom_briton_civil_druidism_temple_of_the_oak	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_druidism_temple_of_the_oak	0	0	0	0	false	false	barb_civ_up.png	0	832	0	true	false	false
rom_briton_civil_farming_animal_husbandry	rom_HELLENIC_port_1	2	1200	rom_barbarian_civil_farming_animal_husbandry	0	0	0	0	false	false	barb_civ_up.png	0	757	0	true	false	false
rom_briton_civil_farming_celtic_plough	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_farming_celtic_plough	0	0	0	0	false	false	barb_civ_up.png	0	778	0	true	false	false
rom_briton_civil_farming_crop_rotation	rom_HELLENIC_port_1	2	9200	rom_barbarian_civil_farming_crop_rotation	0	0	0	0	false	false	barb_civ_up.png	0	783	767	true	false	false
rom_briton_civil_farming_fertilisation	rom_HELLENIC_port_1	2	2000	rom_barbarian_civil_farming_fertilisation	0	0	0	0	false	false	barb_civ_up.png	0	762	0	true	false	false
rom_briton_civil_farming_grain_kiln	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_farming_grain_kiln	0	0	0	0	false	false	barb_civ_up.png	0	789	0	true	false	false
rom_briton_civil_farming_improved_irrigation	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_farming_improved_irrigation	0	0	0	0	false	false	barb_civ_up.png	0	774	0	true	false	false
rom_briton_civil_farming_iron_tools	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_farming_iron_tools	0	0	0	0	false	false	barb_civ_up.png	0	758	0	true	false	false
rom_briton_civil_farming_land_reclamation	rom_HELLENIC_port_1	2	4000	rom_barbarian_civil_farming_land_reclemation	0	0	0	0	false	false	barb_civ_up.png	0	767	333	true	false	false
rom_briton_civil_farming_souterrain	rom_HELLENIC_port_1	2	6400	rom_barbarian_civil_farming_souterrain	0	0	0	0	false	false	barb_civ_up.png	0	799	533	true	false	false
rom_briton_civil_top_celtic_field_systems	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_tribal_council_celtic_field_systems	0	0	0	0	false	false	barb_civ_up.png	0	692	0	true	false	false
rom_briton_civil_tribal_council_celtic_calendar	rom_HELLENIC_port_1	2	4000	rom_barbarian_civil_tribal_council_celtic_calender	0	0	0	0	false	false	barb_civ_up.png	0	754	333	true	false	false
rom_briton_civil_tribal_council_craft_specialisation	rom_HELLENIC_port_1	2	1200	rom_barbarian_civil_tribal_council_craft_specialisation	0	0	0	0	false	false	barb_civ_up.png	0	711	0	true	false	false
rom_briton_civil_tribal_council_cupellation_furnace	rom_HELLENIC_port_1	2	1200	rom_barbarian_civil_tribal_council_cupellation_furnace	0	0	0	0	false	false	barb_civ_up.png	0	703	0	true	false	false
rom_briton_civil_tribal_council_intensified_production	rom_HELLENIC_port_1	2	9200	rom_barbarian_civil_tribal_council_intensified_production	0	0	0	0	false	false	barb_civ_up.png	0	736	767	true	false	false
rom_briton_civil_tribal_council_land_and_community_laws	rom_HELLENIC_port_1	2	9200	rom_barbarian_civil_tribal_council_land_and_community_laws	0	0	0	0	false	false	barb_civ_up.png	0	744	767	true	false	false
rom_briton_civil_tribal_council_mint	rom_HELLENIC_port_1	2	2000	rom_barbarian_civil_tribal_council_mint	0	0	0	0	false	false	barb_civ_up.png	0	716	0	true	false	false
rom_briton_civil_tribal_council_multilingual	rom_HELLENIC_port_1	2	800	rom_barbarian_civil_tribal_council_multilingual	0	0	0	0	false	false	barb_civ_up.png	0	699	0	true	false	false
rom_briton_civil_tribal_council_timber_trackway	rom_HELLENIC_port_1	2	3200	rom_barbarian_civil_tribal_council_timber_trackway	0	0	0	0	false	false	barb_civ_up.png	0	726	267	true	false	false
rom_briton_civil_tribal_council_written_language	rom_HELLENIC_port_1	2	6400	rom_barbarian_civil_tribal_council_written_language	0	0	0	0	false	false	barb_civ_up.png	0	739	533	true	false	false
rom_briton_engineering_construction_double_wall_construction	rom_HELLENIC_port_1	2	6400	rom_barbarian_engineering_construction_double_wall_construction	0	0	0	0	false	false	barb_civ_up.png	0	630	533	false	true	false
rom_briton_engineering_construction_dry_stone_construction	rom_HELLENIC_port_1	2	6400	rom_barbarian_engineering_construction_dry_stone_construction	0	0	0	0	false	false	barb_civ_up.png	0	617	533	false	true	false
rom_briton_engineering_construction_enclosed_settlement	rom_HELLENIC_port_1	2	10000	rom_barbarian_engineering_construction_enclosed_settlement	0	0	0	0	false	false	barb_civ_up.png	0	621	833	false	true	false
rom_briton_engineering_construction_hill_forts	rom_HELLENIC_port_1	2	800	rom_barbarian_engineering_construction_hill_forts	0	0	0	0	false	false	barb_civ_up.png	0	643	0	false	true	false
rom_briton_engineering_construction_large_defences	rom_HELLENIC_port_1	2	4000	rom_barbarian_engineering_construction_large_defences	0	0	0	0	false	false	barb_civ_up.png	0	633	333	false	true	false
rom_briton_engineering_construction_raised_site	rom_HELLENIC_port_1	2	1200	rom_barbarian_engineering_construction_raised_site	0	0	0	0	false	false	barb_civ_up.png	0	619	0	false	true	false
rom_briton_engineering_construction_stone_footing	rom_HELLENIC_port_1	2	4000	rom_barbarian_engineering_construction_stone_footing	0	0	0	0	false	false	barb_civ_up.png	0	604	333	false	true	false
rom_briton_engineering_construction_tax_labour	rom_HELLENIC_port_1	2	2000	rom_barbarian_engineering_construction_tax_labour	0	0	0	0	false	false	barb_civ_up.png	0	596	0	false	true	false
rom_briton_engineering_construction_under_floor_drainage	rom_HELLENIC_port_1	2	1200	rom_barbarian_engineering_construction_under_floor_drainage	0	0	0	0	false	false	barb_civ_up.png	0	612	0	false	true	false
rom_briton_engineering_siege_ammunition_stores	rom_HELLENIC_port_1	2	4000	rom_barbarian_engineering_siegeammunition_stores	0	0	0	0	false	false	barb_army_up.png	0	672	333	false	true	false
rom_briton_engineering_siege_armoured_siege_engineers	rom_HELLENIC_port_1	2	9600	rom_roman_engineering_siege_armoured_siege_engines	0	0	0	0	false	false	barb_army_up.png	0	675	800	false	true	false
rom_briton_engineering_siege_battering_ram	rom_HELLENIC_port_1	2	1200	rom_barbarian_engineering_sige_battering_ram	0	0	0	0	false	false	barb_army_up.png	0	657	0	false	true	false
rom_briton_engineering_siege_boiling_oil	rom_HELLENIC_port_1	2	1200	rom_barbarian_engineering_siege_boiling_oil	0	0	0	0	false	false	barb_army_up.png	0	655	0	false	true	false
rom_briton_engineering_siege_emergency_siege_measures	rom_HELLENIC_port_1	2	800	rom_egyptian_engineering_siege_emergency_siege_measures	0	0	0	0	false	false	barb_army_up.png	0	649	0	false	true	false
rom_briton_engineering_siege_great_food_vault	rom_HELLENIC_port_1	2	2000	rom_barbarian_engineering_siege_great_food_vault	0	0	0	0	false	false	barb_army_up.png	0	683	0	false	true	false
rom_briton_engineering_siege_improved_defensive_artillery	rom_HELLENIC_port_1	2	6400	rom_barbarian_engineering_siege_arrow_towers	0	0	0	0	false	false	barb_army_up.png	0	681	533	false	true	false
rom_briton_engineering_siege_onager	rom_HELLENIC_port_1	2	8400	rom_barbarian_engineering_siege_onager	0	0	0	0	false	false	barb_army_up.png	0	664	700	false	true	false
rom_briton_engineering_siege_siege_tower	rom_HELLENIC_port_1	2	4000	rom_barbarian_engineering_siege_siege_tower	0	0	0	0	false	false	barb_army_up.png	0	684	333	false	true	false
rom_briton_engineering_top_earth_works	rom_HELLENIC_port_1	2	800	rom_barbarian_engineering_top_earth_works	0	0	0	0	false	false	barb_civ_up.png	0	592	0	false	true	false
rom_briton_military_navy_advanced_crew_training	rom_HELLENIC_port_1	2	1600	rom_barbarian_military_navy_advanced_crew_training	0	0	0	0	false	false	barb_army_up.png	0	567	0	false	false	true
rom_briton_military_navy_canvas_sails	rom_HELLENIC_port_1	2	800	rom_barbarian_military_navy_canvas_sails	0	0	0	0	false	false	barb_army_up.png	0	588	0	false	false	true
rom_briton_military_navy_high_prow_and_stern	rom_HELLENIC_port_1	2	9600	rom_barbarian_military_navy_high_prow_and_stern	0	0	0	0	false	false	barb_army_up.png	0	581	800	false	false	true
rom_briton_military_navy_improved_ship_building	rom_HELLENIC_port_1	2	3200	rom_barbarian_military_navy_improved_ship_building	0	0	0	0	false	false	barb_army_up.png	0	573	267	false	false	true
rom_briton_military_navy_iron_anchors	rom_HELLENIC_port_1	2	800	rom_barbarian_military_navy_iron_anchors	0	0	0	0	false	false	barb_army_up.png	0	584	0	false	false	true
rom_briton_military_navy_leather_sails	rom_HELLENIC_port_1	2	800	rom_barbarian_military_navy_leather_sails	0	0	0	0	false	false	barb_army_up.png	0	547	0	false	false	true
rom_briton_military_navy_lode_stone	rom_HELLENIC_port_1	2	2400	rom_barbarian_military_navy_lode_stone	0	0	0	0	false	false	barb_army_up.png	0	553	0	false	false	true
rom_briton_military_navy_oak_construction	rom_HELLENIC_port_1	2	800	rom_barbarian_military_navy_oak_construction	0	0	0	0	false	false	barb_army_up.png	0	571	0	false	false	true
rom_briton_military_navy_shallow_keel	rom_HELLENIC_port_1	2	1200	rom_barbarian_military_navy_shallow_keel	0	0	0	0	false	false	barb_army_up.png	0	562	0	false	false	true
rom_briton_military_top_foraging	rom_HELLENIC_port_1	2	800	rom_barbarian_military_warrior_code_foraging	0	0	0	0	false	false	barb_army_up.png	0	453	0	false	false	true
rom_briton_military_war_exercises_ambushing_techniques	rom_HELLENIC_port_1	2	800	rom_barbarian_military_war_exercises_ambushing_techniques	0	0	0	0	false	false	barb_army_up.png	0	531	0	false	false	true
rom_briton_military_war_exercises_battle_fury	rom_HELLENIC_port_1	2	1200	rom_barbarian_military_war_exercises_battle_fury	0	0	0	0	false	false	barb_army_up.png	0	511	0	false	false	true
rom_briton_military_war_exercises_cavalry_tactics	rom_HELLENIC_port_1	2	8800	rom_barbarian_military_war_exercises_cavalry_tactics	0	0	0	0	false	false	barb_army_up.png	0	507	733	false	false	true
rom_briton_military_war_exercises_chariot_training	rom_HELLENIC_port_1	2	1200	rom_barbarian_military_war_exercises_chariot_training	0	0	0	0	false	false	barb_army_up.png	0	524	0	false	false	true
rom_briton_military_war_exercises_infantry_drills	rom_HELLENIC_port_1	2	6400	rom_barbarian_military_war_exercises_infantry_drills	0	0	0	0	false	false	barb_army_up.png	0	516	533	false	false	true
rom_briton_military_war_exercises_massed_charge	rom_HELLENIC_port_1	2	1600	rom_barbarian_military_war_exercises_massed_charge	0	0	0	0	false	false	barb_army_up.png	0	497	0	false	false	true
rom_briton_military_war_exercises_servants_of_the_elite	rom_HELLENIC_port_1	2	8000	rom_barbarian_military_war_servants_of_the_elite	0	0	0	0	false	false	barb_army_up.png	0	522	667	false	false	true
rom_briton_military_war_exercises_shield_wall	rom_HELLENIC_port_1	2	800	rom_barbarian_military_war_exercises_shield_wall	0	0	0	0	false	false	barb_army_up.png	0	521	0	false	false	true
rom_briton_military_war_exercises_trimarcisia	rom_HELLENIC_port_1	2	800	rom_barbarian_military_war_trimarcisia	0	0	0	0	false	false	barb_army_up.png	0	538	0	false	false	true
rom_briton_military_war_exercises_warrior_aristocracy	rom_HELLENIC_port_1	2	8000	rom_barbarian_military_war_exercises_warrior_aristocracy	0	0	0	0	false	false	barb_army_up.png	0	533	667	false	false	true
rom_briton_military_warrior_code_advanced_saddle	rom_HELLENIC_port_1	2	2000	rom_barbarian_military_warrior_code_advanced_saddle	0	0	0	0	false	false	barb_army_up.png	0	457	0	false	false	true
rom_briton_military_warrior_code_animal_imitation	rom_HELLENIC_port_1	2	800	rom_briton_military_warrior_code_animal_imitation	0	0	0	0	false	false	barb_army_up.png	0	2607	0	false	false	true
rom_briton_military_warrior_code_boars_head_formation	rom_HELLENIC_port_1	2	800	rom_barbarian_military_warrior_code_boards_head_formation	0	0	0	0	false	false	barb_army_up.png	0	495	0	false	false	true
rom_briton_military_warrior_code_focused_flanking	rom_HELLENIC_port_1	2	800	rom_barbarian_military_warrior_code_focused_flanking	0	0	0	0	false	false	barb_army_up.png	0	860	0	false	false	true
rom_briton_military_warrior_code_headhunt	rom_HELLENIC_port_1	2	800	rom_barbarian_military_warrior_code_headhunt	0	0	0	0	false	false	barb_army_up.png	0	481	0	false	false	true
rom_briton_military_warrior_code_improved_chariots	rom_HELLENIC_port_1	2	800	rom_barbarian_military_warrior_code_improved_chariots	0	0	0	0	false	false	barb_army_up.png	0	460	0	false	false	true
rom_briton_military_warrior_code_infantry_chainmail	rom_HELLENIC_port_1	2	4000	rom_barbarian_military_warrior_code_infantry_chainmail	0	0	0	0	false	false	barb_army_up.png	0	487	333	false	false	true
rom_briton_military_warrior_code_tribal_totem	rom_HELLENIC_port_1	2	4000	rom_barbarian_military_warrior_code_tribal_totem	0	0	0	0	false	false	barb_army_up.png	0	463	333	false	false	true
rom_briton_military_warrior_code_war_dance	rom_HELLENIC_port_1	2	2400	rom_barbarian_military_warrior_code_war_dance	0	0	0	0	false	false	barb_army_up.png	0	476	0	false	false	true
rom_briton_military_warrior_code_war_horn	rom_HELLENIC_port_1	2	6400	rom_barbarian_military_warrior_code_war_horn	0	0	0	0	false	false	barb_army_up.png	0	466	533	false	false	true
rom_carthage_civil_agriculture_improved_irrigation	rom_HELLENIC_port_1	2	800	rom_roman_civil_agriculture_improved_irrigation	0	0	0	0	false	false	greek_civ_up.png	0	1947	0	true	false	false
rom_carthage_civil_economy_armed_escorts	rom_HELLENIC_port_1	2	2400	rom_eastern_civil_economy_armed_escorts	0	0	0	0	false	false	greek_civ_up.png	0	2681	0	true	false	false
rom_carthage_civil_economy_canal_and_dam_system	rom_HELLENIC_port_1	2	4000	rom_eastern_civil_agriculture_canal_and_dam_system	0	0	0	0	false	false	greek_civ_up.png	0	2660	333	true	false	false
rom_carthage_civil_economy_fertilisation	rom_HELLENIC_port_1	2	1600	rom_roman_civil_agriculture_manuring	0	0	0	0	false	false	greek_civ_up.png	0	2645	0	true	false	false
rom_carthage_civil_economy_fixed_tarrifs	rom_HELLENIC_port_1	2	4000	rom_eastern_civil_economy_fixed_tariffs	0	0	0	0	false	false	greek_civ_up.png	0	2690	333	true	false	false
rom_carthage_civil_economy_formal_government	rom_HELLENIC_port_1	2	1200	rom_eastern_civil_economy_formal_government	0	0	0	0	false	false	greek_civ_up.png	0	2642	0	true	false	false
rom_carthage_civil_economy_improved_drainage	rom_HELLENIC_port_1	2	2400	rom_eastern_civil_agriculture_improved_drainage	0	0	0	0	false	false	greek_civ_up.png	0	2651	0	true	false	false
rom_carthage_civil_economy_intensified_agriculture	rom_HELLENIC_port_1	2	8800	rom_eastern_civil_agriculture_intensified_agriculture	0	0	0	0	false	false	greek_civ_up.png	0	2669	733	true	false	false
rom_carthage_civil_economy_military_mint	rom_HELLENIC_port_1	2	8000	rom_carthaginian_civil_economy_military_mint	0	0	0	0	false	false	greek_civ_up.png	0	1932	667	true	false	false
rom_carthage_civil_economy_preferred_markets	rom_HELLENIC_port_1	2	1600	rom_eastern_civil_economy_preferred_markets	0	0	0	0	false	false	greek_civ_up.png	0	2677	0	true	false	false
rom_carthage_civil_economy_trade_language	rom_HELLENIC_port_1	2	10400	rom_eastern_civil_economy_trade_language	0	0	0	0	false	false	greek_civ_up.png	0	2691	867	true	false	false
rom_carthage_civil_philosophy_ceremonial_rites	rom_HELLENIC_port_1	2	800	rom_eastern_civil_philosophy_ceremonial_rites	0	0	0	0	false	false	greek_civ_up.png	0	2699	0	true	false	false
rom_carthage_civil_philosophy_cultural_assimilation	rom_HELLENIC_port_1	2	4000	rom_eastern_civil_philosophy_cultural_assimiliation	0	0	0	0	false	false	greek_civ_up.png	0	2717	333	true	false	false
rom_carthage_civil_philosophy_foreign_customs	rom_HELLENIC_port_1	2	1200	rom_eastern_civil_philosophy_foreign_customs	0	0	0	0	false	false	greek_civ_up.png	0	2704	0	true	false	false
rom_carthage_civil_philosophy_foreign_policy	rom_HELLENIC_port_1	2	2000	rom_eastern_civil_philosophy_foreign_policy	0	0	0	0	false	false	greek_civ_up.png	0	2712	0	true	false	false
rom_carthage_civil_philosophy_legal_institutions	rom_HELLENIC_port_1	2	3200	rom_roman_civil_economy_legal_institutions	0	0	0	0	false	false	greek_civ_up.png	0	2723	267	true	false	false
rom_carthage_civil_philosophy_military_mint	rom_HELLENIC_port_1	2	9600	rom_carthaginian_civil_economy_military_mint	0	0	0	0	false	false	greek_civ_up.png	0	2732	800	true	false	false
rom_carthage_civil_philosophy_religious_conformity	rom_HELLENIC_port_1	2	6400	rom_carthaginian_civil_philosophy_religious_conformity	0	0	0	0	false	false	greek_civ_up.png	0	1964	533	true	false	false
rom_carthage_civil_philosophy_temple_tax	rom_HELLENIC_port_1	2	1200	rom_eastern_civil_economy_temple_tax	0	0	0	0	false	false	greek_civ_up.png	0	2719	0	true	false	false
rom_carthage_civil_philosophy_tophet	rom_HELLENIC_port_1	2	9600	rom_carthaginian_civil_philosophy_tophet	0	0	0	0	false	false	greek_civ_up.png	0	1957	800	true	false	false
rom_carthage_civil_top_land_management	rom_HELLENIC_port_1	2	800	rom_roman_civil_top_land_management	0	0	0	0	false	false	greek_civ_up.png	0	1890	0	true	false	false
rom_carthage_engineering_construction_advanced_construction_techniques	rom_HELLENIC_port_1	2	2000	rom_roman_engineering_construction_advanced_construction_techniques	0	0	0	0	false	false	greek_civ_up.png	0	1829	0	false	true	false
rom_carthage_engineering_construction_city_planning	rom_HELLENIC_port_1	2	1200	rom_greek_engineering_construction_city_planning	0	0	0	0	false	false	greek_civ_up.png	0	1822	0	false	true	false
rom_carthage_engineering_construction_concrete	rom_HELLENIC_port_1	2	6400	rom_roman_engineering_construction_concrete	0	0	0	0	false	false	greek_civ_up.png	0	1848	533	false	true	false
rom_carthage_engineering_construction_crane	rom_HELLENIC_port_1	2	6400	rom_roman_engineering_construction_crane	0	0	0	0	false	false	greek_civ_up.png	0	1841	533	false	true	false
rom_carthage_engineering_construction_improved_port_construction	rom_HELLENIC_port_1	2	4000	rom_carthaginian_engineering_construction_improved_port_construction	0	0	0	0	false	false	greek_civ_up.png	0	1834	333	false	true	false
rom_carthage_engineering_construction_measuring_instruments	rom_HELLENIC_port_1	2	4000	rom_eastern_engineering_construction_measuring_instruments	0	0	0	0	false	false	greek_civ_up.png	0	1836	333	false	true	false
rom_carthage_engineering_construction_monumental_architecture	rom_HELLENIC_port_1	2	11200	rom_greek_engineering_construction_monumental_architecture	0	0	0	0	false	false	greek_civ_up.png	0	1852	933	false	true	false
rom_carthage_engineering_construction_tax_labour	rom_HELLENIC_port_1	2	800	rom_roman_engineering_construction_tax_labour	0	0	0	0	false	false	greek_civ_up.png	0	1812	0	false	true	false
rom_carthage_engineering_construction_water_sluicing	rom_HELLENIC_port_1	2	1200	rom_roman_engineering_construction_water_sluicing	0	0	0	0	false	false	greek_civ_up.png	0	1820	0	false	true	false
rom_carthage_engineering_siege_ammunition_stores	rom_HELLENIC_port_1	2	1600	rom_barbarian_engineering_siegeammunition_stores	0	0	0	0	false	false	greek_army_up.png	0	1879	0	false	true	false
rom_carthage_engineering_siege_armoured_siege_engineers	rom_HELLENIC_port_1	2	2400	rom_roman_engineering_siege_armoured_siege_engines	0	0	0	0	false	false	greek_army_up.png	0	1881	0	false	true	false
rom_carthage_engineering_siege_battering_ram	rom_HELLENIC_port_1	2	2400	rom_roman_engineering_siege_battering_ram	0	0	0	0	false	false	greek_army_up.png	0	1856	0	false	true	false
rom_carthage_engineering_siege_boiling_oil	rom_HELLENIC_port_1	2	800	rom_roman_engineering_siege_boiling_oil	0	0	0	0	false	false	greek_army_up.png	0	1862	0	false	true	false
rom_carthage_engineering_siege_central_grain_warehouse	rom_HELLENIC_port_1	2	10400	rom_roman_engineering_siege_central_grain_warehouse	0	0	0	0	false	false	greek_army_up.png	0	1854	867	false	true	false
rom_carthage_engineering_siege_elephant_ram	rom_HELLENIC_port_1	2	4400	rom_eastern_engineering_siege_elephant_ram	0	0	0	0	false	false	greek_army_up.png	0	1871	367	false	true	false
rom_carthage_engineering_siege_improved_defensive_artillery	rom_HELLENIC_port_1	2	4000	rom_roman_engineering_siege_arrow_towers	0	0	0	0	false	false	greek_army_up.png	0	1882	333	false	true	false
rom_carthage_engineering_siege_onager	rom_HELLENIC_port_1	2	8800	rom_roman_engineering_siege_onager	0	0	0	0	false	false	greek_army_up.png	0	1873	733	false	true	false
rom_carthage_engineering_siege_siege_tower	rom_HELLENIC_port_1	2	1600	rom_roman_engineering_siege_siege_tower	0	0	0	0	false	false	greek_army_up.png	0	1889	0	false	true	false
rom_carthage_engineering_top_engineering	rom_HELLENIC_port_1	2	1200	rom_roman_engineering_top_engineering	0	0	0	0	false	false	greek_army_up.png	0	1805	0	false	true	false
rom_carthage_military_management_fore_and_aft_rigging	rom_HELLENIC_port_1	2	2400	rom_roman_military_navy_fore_and_aft_rigging	0	0	0	0	false	false	greek_army_up.png	0	2623	0	false	false	true
rom_carthage_military_management_marine_training	rom_HELLENIC_port_1	2	10400	rom_greek_military_navy_marine_training	0	0	0	0	false	false	greek_army_up.png	0	2635	867	false	false	true
rom_carthage_military_management_mercenaries	rom_HELLENIC_port_1	2	1600	rom_roman_military_management_mercenary_assets	0	0	0	0	false	false	greek_army_up.png	0	1722	0	false	false	true
rom_carthage_military_management_military_settlement	rom_HELLENIC_port_1	2	1200	rom_greek_military_management_military_settlement	0	0	0	0	false	false	greek_army_up.png	0	1725	0	false	false	true
rom_carthage_military_management_naval_artillery_training	rom_HELLENIC_port_1	2	4000	rom_greek_military_navy_improved_artillery	0	0	0	0	false	false	greek_army_up.png	0	2633	333	false	false	true
rom_carthage_military_management_naval_manoeuvres	rom_HELLENIC_port_1	2	1600	rom_roman_military_navy_naval_manoeuvres	0	0	0	0	false	false	greek_army_up.png	0	2617	0	false	false	true
rom_carthage_military_management_organised_supply	rom_HELLENIC_port_1	2	800	rom_greek_military_management_organised_supply	0	0	0	0	false	false	greek_army_up.png	0	1716	0	false	false	true
rom_carthage_military_management_professional_soldiery	rom_HELLENIC_port_1	2	800	rom_roman_military_management_professional_soldiery	0	0	0	0	false	false	greek_army_up.png	0	1749	0	false	false	true
rom_carthage_military_management_propaganda	rom_HELLENIC_port_1	2	9600	rom_carthaginian_military_management_propaganda	0	0	0	0	false	false	greek_army_up.png	0	1736	800	false	false	true
rom_carthage_military_management_punicisation	rom_HELLENIC_port_1	2	2400	rom_carthaginian_military_management_punicisation	0	0	0	0	false	false	greek_army_up.png	0	1726	0	false	false	true
